,Liquid Alternative Beta Index,,,Event Driven Liquid Index,,,Global Strategies Liquid Index,,,Long/Short Liquid Index,,,Managed Futures Liquid Index,,,Merger Arbitrage Liquid Index,,
,CSLAB,,,CSLABED,,,CSLABGS,,,CSLABLS,,,CSLABMF,,,CSLABMA,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
10/5/2015,USD,1233.85,0.53%,USD,1338.58,1.25%,USD,1064,0.21%,USD,1430.5,0.46%,USD,1136.55,-1.34%,USD,1104.17,0.37%
10/4/2015,USD,1227.3,0.00%,USD,1322.09,0.00%,USD,1061.76,0.00%,USD,1423.94,0.00%,USD,1151.97,0.00%,USD,1100.13,0.00%
10/3/2015,USD,1227.3,0.00%,USD,1322.09,0.00%,USD,1061.76,0.00%,USD,1423.94,0.00%,USD,1151.97,0.00%,USD,1100.13,0.00%
10/2/2015,USD,1227.3,0.20%,USD,1322.09,0.34%,USD,1061.76,0.04%,USD,1423.94,0.51%,USD,1151.97,-0.41%,USD,1100.13,0.46%
10/1/2015,USD,1224.86,0.01%,USD,1317.59,-0.07%,USD,1061.3,-0.02%,USD,1416.69,0.24%,USD,1156.75,0.03%,USD,1095.06,0.07%
9/30/2015,USD,1224.74,0.51%,USD,1318.49,0.80%,USD,1061.47,0.28%,USD,1413.35,0.82%,USD,1156.35,-0.81%,USD,1094.3,0.45%
9/29/2015,USD,1218.57,-0.25%,USD,1308.03,-0.64%,USD,1058.52,-0.10%,USD,1401.85,-0.12%,USD,1165.79,0.44%,USD,1089.4,-0.18%
9/28/2015,USD,1221.61,-0.92%,USD,1316.5,-1.85%,USD,1059.53,-0.45%,USD,1403.59,-1.02%,USD,1160.71,1.18%,USD,1091.34,-0.53%
9/27/2015,USD,1233.01,0.00%,USD,1341.27,0.00%,USD,1064.3,0.00%,USD,1418.03,0.00%,USD,1147.13,0.00%,USD,1097.2,0.00%
9/26/2015,USD,1233.01,0.00%,USD,1341.27,0.00%,USD,1064.3,0.00%,USD,1418.03,0.00%,USD,1147.13,0.00%,USD,1097.2,0.00%
9/25/2015,USD,1233.01,-0.14%,USD,1341.27,-0.16%,USD,1064.3,-0.10%,USD,1418.03,-0.23%,USD,1147.13,-0.88%,USD,1097.21,0.25%
9/24/2015,USD,1234.72,-0.23%,USD,1343.38,-0.33%,USD,1065.41,-0.20%,USD,1421.27,-0.15%,USD,1157.3,0.32%,USD,1094.42,0.27%
9/23/2015,USD,1237.54,-0.11%,USD,1347.86,-0.22%,USD,1067.54,-0.07%,USD,1423.39,-0.04%,USD,1153.56,-0.02%,USD,1091.52,-0.03%
9/22/2015,USD,1238.86,-0.42%,USD,1350.86,-1.07%,USD,1068.29,-0.07%,USD,1423.89,-0.52%,USD,1153.81,1.44%,USD,1091.83,-0.37%
9/21/2015,USD,1244.08,0.00%,USD,1365.52,-0.36%,USD,1069.02,0.13%,USD,1431.35,0.14%,USD,1137.42,-0.14%,USD,1095.85,-0.38%
9/20/2015,USD,1244.13,0.00%,USD,1370.43,0.00%,USD,1067.61,0.00%,USD,1429.42,0.00%,USD,1139.04,0.00%,USD,1100.04,0.00%
9/19/2015,USD,1244.13,0.00%,USD,1370.43,0.00%,USD,1067.61,0.00%,USD,1429.42,0.00%,USD,1139.04,0.00%,USD,1100.04,0.00%
9/18/2015,USD,1244.13,-0.23%,USD,1370.43,-0.47%,USD,1067.61,-0.05%,USD,1429.42,-0.47%,USD,1139.04,1.37%,USD,1100.04,-0.12%
9/17/2015,USD,1247.06,-0.04%,USD,1376.94,-0.06%,USD,1068.16,-0.05%,USD,1436.1,0.01%,USD,1123.65,0.05%,USD,1101.33,-0.10%
9/16/2015,USD,1247.58,0.03%,USD,1377.75,0.12%,USD,1068.65,-0.02%,USD,1436,0.05%,USD,1123.1,-1.07%,USD,1102.45,0.33%
9/15/2015,USD,1247.15,0.17%,USD,1376.05,0.08%,USD,1068.83,0.14%,USD,1435.22,0.47%,USD,1135.22,-0.50%,USD,1098.86,0.02%
9/14/2015,USD,1244.99,-0.05%,USD,1374.89,0.01%,USD,1067.37,-0.05%,USD,1428.55,-0.16%,USD,1140.87,0.07%,USD,1098.68,0.11%
9/13/2015,USD,1245.62,0.00%,USD,1374.74,0.00%,USD,1067.92,0.00%,USD,1430.86,0.00%,USD,1140.11,0.00%,USD,1097.43,0.00%
9/12/2015,USD,1245.62,0.00%,USD,1374.74,0.00%,USD,1067.92,0.00%,USD,1430.86,0.00%,USD,1140.11,0.00%,USD,1097.43,0.00%
9/11/2015,USD,1245.62,0.11%,USD,1374.74,0.06%,USD,1067.92,0.10%,USD,1430.86,0.26%,USD,1140.11,0.35%,USD,1097.43,0.06%
9/10/2015,USD,1244.2,0.05%,USD,1373.94,0.04%,USD,1066.82,-0.04%,USD,1427.18,0.39%,USD,1136.19,-0.19%,USD,1096.76,0.13%
9/9/2015,USD,1243.56,-0.13%,USD,1373.41,0.14%,USD,1067.21,-0.12%,USD,1421.66,-0.63%,USD,1138.39,-0.08%,USD,1095.36,0.16%
9/8/2015,USD,1245.14,0.60%,USD,1371.55,0.76%,USD,1068.47,0.40%,USD,1430.67,1.00%,USD,1139.29,-1.25%,USD,1093.56,0.33%
9/7/2015,USD,1237.76,0.00%,USD,1361.22,0.00%,USD,1064.21,0.00%,USD,1416.49,0.00%,USD,1153.7,0.00%,USD,1090,0.00%
9/6/2015,USD,1237.76,0.00%,USD,1361.22,0.00%,USD,1064.21,0.00%,USD,1416.49,0.00%,USD,1153.7,0.00%,USD,1090,0.00%
9/5/2015,USD,1237.76,0.00%,USD,1361.22,0.00%,USD,1064.21,0.00%,USD,1416.49,0.00%,USD,1153.7,0.00%,USD,1090,0.00%
9/4/2015,USD,1237.76,-0.26%,USD,1361.22,-0.28%,USD,1064.21,-0.22%,USD,1416.49,-0.35%,USD,1153.7,1.20%,USD,1090,-0.12%
9/3/2015,USD,1240.95,0.09%,USD,1365.02,0.22%,USD,1066.55,0.12%,USD,1421.47,-0.24%,USD,1140.04,-0.26%,USD,1091.35,-0.07%
9/2/2015,USD,1239.83,0.50%,USD,1362.03,0.32%,USD,1065.29,0.48%,USD,1424.9,0.91%,USD,1143.05,-0.19%,USD,1092.09,0.11%
9/1/2015,USD,1233.62,-0.69%,USD,1357.68,-0.79%,USD,1060.17,-0.57%,USD,1412.12,-0.93%,USD,1145.26,1.35%,USD,1090.94,-0.43%
8/31/2015,USD,1242.22,-0.21%,USD,1368.54,0.14%,USD,1066.28,-0.29%,USD,1425.44,-0.54%,USD,1130.05,-0.29%,USD,1095.67,0.26%
8/30/2015,USD,1244.84,0.00%,USD,1366.61,0.00%,USD,1069.43,0.00%,USD,1433.17,0.00%,USD,1133.31,0.00%,USD,1092.87,0.00%
8/29/2015,USD,1244.84,0.00%,USD,1366.61,0.00%,USD,1069.43,0.00%,USD,1433.17,0.00%,USD,1133.31,0.00%,USD,1092.87,0.00%
8/28/2015,USD,1244.84,0.10%,USD,1366.61,0.39%,USD,1069.43,0.01%,USD,1433.17,-0.09%,USD,1133.31,-0.28%,USD,1092.87,0.11%
8/27/2015,USD,1243.58,0.61%,USD,1361.35,0.81%,USD,1069.3,0.50%,USD,1434.49,0.63%,USD,1136.52,-1.93%,USD,1091.69,0.07%
8/26/2015,USD,1236.08,0.89%,USD,1350.45,0.58%,USD,1063.99,0.82%,USD,1425.48,1.68%,USD,1158.9,0.95%,USD,1090.97,0.13%
8/25/2015,USD,1225.22,-0.09%,USD,1342.71,0.03%,USD,1055.34,-0.06%,USD,1401.89,-0.44%,USD,1148.02,-1.08%,USD,1089.5,-0.61%
8/24/2015,USD,1226.36,-1.55%,USD,1342.29,-1.75%,USD,1055.95,-1.56%,USD,1408.1,-1.11%,USD,1160.6,0.51%,USD,1096.24,-0.68%
8/23/2015,USD,1245.62,0.00%,USD,1366.23,0.00%,USD,1072.73,0.00%,USD,1423.9,0.00%,USD,1154.7,0.00%,USD,1103.75,0.00%
8/22/2015,USD,1245.62,0.00%,USD,1366.23,0.00%,USD,1072.73,0.00%,USD,1423.9,0.00%,USD,1154.7,0.00%,USD,1103.75,0.00%
8/21/2015,USD,1245.62,-0.83%,USD,1366.23,-0.67%,USD,1072.73,-0.78%,USD,1423.9,-1.29%,USD,1154.7,0.15%,USD,1103.75,-0.23%
8/20/2015,USD,1256.07,-0.68%,USD,1375.5,-0.63%,USD,1081.18,-0.64%,USD,1442.57,-0.91%,USD,1152.97,-0.15%,USD,1106.33,-0.07%
8/19/2015,USD,1264.7,-0.26%,USD,1384.25,-0.41%,USD,1088.18,-0.21%,USD,1455.87,-0.17%,USD,1154.73,0.01%,USD,1107.05,-0.19%
8/18/2015,USD,1267.97,-0.01%,USD,1389.9,-0.19%,USD,1090.44,0.04%,USD,1458.34,0.09%,USD,1154.67,0.31%,USD,1109.14,-0.07%
8/17/2015,USD,1268.13,0.30%,USD,1392.48,0.26%,USD,1089.99,0.33%,USD,1456.99,0.26%,USD,1151.11,0.53%,USD,1109.9,0.19%
8/16/2015,USD,1264.36,0.00%,USD,1388.88,0.00%,USD,1086.42,0.00%,USD,1453.17,0.00%,USD,1145.09,0.00%,USD,1107.76,0.00%
8/15/2015,USD,1264.36,0.00%,USD,1388.88,0.00%,USD,1086.42,0.00%,USD,1453.17,0.00%,USD,1145.09,0.00%,USD,1107.76,0.00%
8/14/2015,USD,1264.36,0.15%,USD,1388.88,0.35%,USD,1086.42,0.10%,USD,1453.17,0.00%,USD,1145.09,-0.11%,USD,1107.76,0.11%
8/13/2015,USD,1262.46,0.08%,USD,1384.1,0.08%,USD,1085.36,0.09%,USD,1453.22,0.05%,USD,1146.36,0.25%,USD,1106.56,0.06%
8/12/2015,USD,1261.46,-0.26%,USD,1383.04,-0.33%,USD,1084.39,-0.32%,USD,1452.5,0.05%,USD,1143.51,-0.89%,USD,1105.89,0.22%
8/11/2015,USD,1264.77,-0.32%,USD,1387.57,-0.63%,USD,1087.87,-0.21%,USD,1451.72,-0.17%,USD,1153.82,1.11%,USD,1103.45,-0.15%
8/10/2015,USD,1268.86,0.16%,USD,1396.42,0.31%,USD,1090.16,0.06%,USD,1454.24,0.27%,USD,1141.14,-0.80%,USD,1105.07,0.20%
8/9/2015,USD,1266.82,0.00%,USD,1392.17,0.00%,USD,1089.51,0.00%,USD,1450.39,0.00%,USD,1150.4,0.00%,USD,1102.82,0.00%
8/8/2015,USD,1266.82,0.00%,USD,1392.17,0.00%,USD,1089.51,0.00%,USD,1450.39,0.00%,USD,1150.4,0.00%,USD,1102.82,0.00%
8/7/2015,USD,1266.82,-0.25%,USD,1392.17,-0.52%,USD,1089.51,-0.17%,USD,1450.39,-0.09%,USD,1150.4,-0.25%,USD,1102.82,0.02%
8/6/2015,USD,1270.03,-0.24%,USD,1399.43,-0.45%,USD,1091.35,-0.21%,USD,1451.64,0.01%,USD,1153.28,-0.13%,USD,1102.59,0.04%
8/5/2015,USD,1273.1,0.16%,USD,1405.81,-0.02%,USD,1093.61,0.21%,USD,1451.48,0.30%,USD,1154.77,0.04%,USD,1102.19,0.03%
8/4/2015,USD,1271.08,-0.08%,USD,1406.08,-0.07%,USD,1091.36,-0.07%,USD,1447.14,-0.14%,USD,1154.28,-0.26%,USD,1101.85,-0.03%
8/3/2015,USD,1272.09,0.12%,USD,1407.08,-0.09%,USD,1092.08,0.20%,USD,1449.17,0.33%,USD,1157.27,0.64%,USD,1102.18,0.16%
8/2/2015,USD,1270.55,0.00%,USD,1408.34,0.00%,USD,1089.92,0.00%,USD,1444.4,0.00%,USD,1149.95,0.00%,USD,1100.42,0.00%
8/1/2015,USD,1270.55,0.00%,USD,1408.34,-0.06%,USD,1089.92,0.00%,USD,1444.4,0.00%,USD,1149.95,0.00%,USD,1100.42,0.00%
7/31/2015,USD,1270.55,0.06%,USD,1409.21,0.21%,USD,1089.92,-0.03%,USD,1444.4,0.09%,USD,1149.95,0.24%,USD,1100.42,0.08%
7/30/2015,USD,1269.82,0.28%,USD,1406.3,0.38%,USD,1090.21,0.28%,USD,1443.07,0.11%,USD,1147.22,0.59%,USD,1099.54,-0.08%
7/29/2015,USD,1266.26,0.38%,USD,1400.97,0.77%,USD,1087.16,0.28%,USD,1441.53,0.05%,USD,1140.46,0.29%,USD,1100.37,0.18%
7/28/2015,USD,1261.47,0.32%,USD,1390.2,0.28%,USD,1084.14,0.36%,USD,1440.78,0.25%,USD,1137.2,-0.08%,USD,1098.44,0.05%
7/27/2015,USD,1257.45,-0.37%,USD,1386.37,-0.66%,USD,1080.24,-0.38%,USD,1437.2,0.23%,USD,1138.12,-0.69%,USD,1097.94,-0.12%
7/26/2015,USD,1262.06,0.00%,USD,1395.64,0.00%,USD,1084.41,0.00%,USD,1433.95,0.00%,USD,1146.04,0.00%,USD,1099.31,0.00%
7/25/2015,USD,1262.06,0.00%,USD,1395.64,0.00%,USD,1084.41,0.00%,USD,1433.95,0.00%,USD,1146.04,0.00%,USD,1099.31,0.00%
7/24/2015,USD,1262.06,-0.22%,USD,1395.64,-0.34%,USD,1084.41,-0.21%,USD,1433.95,-0.06%,USD,1146.04,0.08%,USD,1099.31,-0.02%
7/23/2015,USD,1264.85,-0.07%,USD,1400.43,-0.27%,USD,1086.64,-0.08%,USD,1434.86,0.30%,USD,1145.12,-0.03%,USD,1099.5,-0.10%
7/22/2015,USD,1265.78,-0.31%,USD,1404.17,-0.69%,USD,1087.52,-0.14%,USD,1430.62,-0.24%,USD,1145.44,0.28%,USD,1100.61,-0.28%
7/21/2015,USD,1269.73,-0.26%,USD,1413.88,-0.34%,USD,1089.06,-0.24%,USD,1434.13,-0.19%,USD,1142.27,-0.49%,USD,1103.69,0.03%
7/20/2015,USD,1273.05,0.02%,USD,1418.77,-0.34%,USD,1091.66,0.10%,USD,1436.89,0.42%,USD,1147.95,0.27%,USD,1103.33,-0.16%
7/19/2015,USD,1272.76,0.00%,USD,1423.68,0.00%,USD,1090.61,0.00%,USD,1430.88,0.00%,USD,1144.81,0.00%,USD,1105.08,0.00%
7/18/2015,USD,1272.76,0.00%,USD,1423.68,0.00%,USD,1090.61,0.00%,USD,1430.88,0.00%,USD,1144.81,0.00%,USD,1105.08,0.00%
7/17/2015,USD,1272.76,-0.07%,USD,1423.68,-0.41%,USD,1090.61,0.06%,USD,1430.88,0.08%,USD,1144.81,0.26%,USD,1105.08,-0.04%
7/16/2015,USD,1273.61,0.32%,USD,1429.49,0.23%,USD,1089.91,0.29%,USD,1429.75,0.58%,USD,1141.82,0.29%,USD,1105.48,0.13%
7/15/2015,USD,1269.56,0.17%,USD,1426.21,-0.03%,USD,1086.76,0.24%,USD,1421.47,0.26%,USD,1138.47,0.84%,USD,1104.07,0.02%
7/14/2015,USD,1267.45,0.22%,USD,1426.6,0.19%,USD,1084.19,0.19%,USD,1417.78,0.38%,USD,1129,-0.09%,USD,1103.8,0.02%
7/13/2015,USD,1264.7,0.45%,USD,1423.94,0.32%,USD,1082.16,0.60%,USD,1412.42,0.15%,USD,1129.97,0.55%,USD,1103.57,-0.03%
7/12/2015,USD,1259.01,0.00%,USD,1419.39,0.00%,USD,1075.69,0.00%,USD,1410.27,0.00%,USD,1123.79,0.00%,USD,1103.86,0.00%
7/11/2015,USD,1259.01,0.00%,USD,1419.39,0.00%,USD,1075.69,0.00%,USD,1410.27,0.00%,USD,1123.79,0.00%,USD,1103.86,0.00%
7/10/2015,USD,1259.01,0.49%,USD,1419.39,0.51%,USD,1075.69,0.41%,USD,1410.27,0.71%,USD,1123.79,0.18%,USD,1103.86,0.21%
7/9/2015,USD,1252.91,0.06%,USD,1412.17,-0.05%,USD,1071.28,0.14%,USD,1400.28,-0.04%,USD,1121.78,0.31%,USD,1101.52,-0.43%
7/8/2015,USD,1252.17,-0.51%,USD,1412.88,-0.52%,USD,1069.77,-0.74%,USD,1400.86,0.34%,USD,1118.33,-1.75%,USD,1106.31,-0.04%
7/7/2015,USD,1258.62,0.09%,USD,1420.25,-0.21%,USD,1077.77,0.20%,USD,1396.18,0.23%,USD,1138.23,0.58%,USD,1106.79,-0.25%
7/6/2015,USD,1257.5,-0.23%,USD,1423.17,-0.46%,USD,1075.64,-0.19%,USD,1393,0.07%,USD,1131.62,-0.07%,USD,1109.6,-0.18%
7/5/2015,USD,1260.34,0.00%,USD,1429.77,0.00%,USD,1077.66,0.00%,USD,1392.04,0.00%,USD,1132.38,0.00%,USD,1111.6,0.00%
7/4/2015,USD,1260.34,0.00%,USD,1429.77,0.00%,USD,1077.66,0.00%,USD,1392.04,0.00%,USD,1132.38,0.00%,USD,1111.6,0.00%
7/3/2015,USD,1260.34,0.00%,USD,1429.77,0.00%,USD,1077.66,0.00%,USD,1392.04,0.00%,USD,1132.38,0.00%,USD,1111.6,0.00%
7/2/2015,USD,1260.34,0.07%,USD,1429.77,0.07%,USD,1077.66,0.04%,USD,1392.04,0.18%,USD,1132.38,-0.01%,USD,1111.6,0.14%
7/1/2015,USD,1259.48,0.50%,USD,1428.75,0.27%,USD,1077.26,0.57%,USD,1389.57,0.68%,USD,1132.44,1.05%,USD,1110,0.10%
6/30/2015,USD,1253.22,-0.13%,USD,1424.97,0.06%,USD,1071.18,-0.10%,USD,1380.2,-0.57%,USD,1120.69,-0.11%,USD,1108.9,0.01%
6/29/2015,USD,1254.83,-1.03%,USD,1424.05,-1.13%,USD,1072.28,-1.06%,USD,1388.15,-0.72%,USD,1121.93,-1.66%,USD,1108.79,-0.26%
6/28/2015,USD,1267.88,0.00%,USD,1440.29,0.00%,USD,1083.8,0.00%,USD,1398.27,0.00%,USD,1140.82,0.00%,USD,1111.63,0.00%
6/27/2015,USD,1267.88,0.00%,USD,1440.29,0.00%,USD,1083.8,0.00%,USD,1398.27,0.00%,USD,1140.82,0.00%,USD,1111.63,0.00%
6/26/2015,USD,1267.88,-0.11%,USD,1440.29,-0.32%,USD,1083.8,-0.06%,USD,1398.27,0.08%,USD,1140.82,-0.01%,USD,1111.63,-0.23%
6/25/2015,USD,1269.32,-0.11%,USD,1444.9,-0.16%,USD,1084.49,-0.12%,USD,1397.14,0.01%,USD,1140.88,-0.40%,USD,1114.15,0.03%
6/24/2015,USD,1270.71,-0.29%,USD,1447.15,-0.36%,USD,1085.79,-0.22%,USD,1396.97,-0.41%,USD,1145.46,-0.10%,USD,1113.87,-0.28%
6/23/2015,USD,1274.37,0.12%,USD,1452.42,-0.06%,USD,1088.13,0.34%,USD,1402.72,-0.35%,USD,1146.64,0.61%,USD,1116.98,-0.13%
6/22/2015,USD,1272.83,0.45%,USD,1453.27,0.50%,USD,1084.41,0.40%,USD,1407.65,0.53%,USD,1139.73,0.93%,USD,1118.46,0.32%
6/21/2015,USD,1267.17,0.00%,USD,1446.09,0.00%,USD,1080.11,0.00%,USD,1400.23,0.00%,USD,1129.19,0.00%,USD,1114.85,0.00%
6/20/2015,USD,1267.17,0.00%,USD,1446.09,0.00%,USD,1080.11,0.00%,USD,1400.23,0.00%,USD,1129.19,0.00%,USD,1114.85,0.00%
6/19/2015,USD,1267.17,-0.04%,USD,1446.09,-0.06%,USD,1080.11,-0.01%,USD,1400.23,-0.13%,USD,1129.19,0.22%,USD,1114.85,-0.36%
6/18/2015,USD,1267.74,0.26%,USD,1447.01,0.64%,USD,1080.24,0.00%,USD,1402.1,0.56%,USD,1126.75,-0.36%,USD,1118.84,0.52%
6/17/2015,USD,1264.4,-0.04%,USD,1437.84,0.02%,USD,1080.29,-0.05%,USD,1394.32,-0.13%,USD,1130.8,-0.30%,USD,1113.02,-0.13%
6/16/2015,USD,1264.95,0.08%,USD,1437.6,0.04%,USD,1080.82,0.09%,USD,1396.14,0.14%,USD,1134.17,-0.14%,USD,1114.43,0.23%
6/15/2015,USD,1263.94,-0.24%,USD,1437.06,-0.43%,USD,1079.9,-0.18%,USD,1394.23,-0.10%,USD,1135.77,-0.48%,USD,1111.88,-0.31%
6/14/2015,USD,1266.94,0.00%,USD,1443.27,0.00%,USD,1081.82,0.00%,USD,1395.69,0.00%,USD,1141.24,0.00%,USD,1115.32,0.00%
6/13/2015,USD,1266.94,0.00%,USD,1443.27,0.00%,USD,1081.82,0.00%,USD,1395.69,0.00%,USD,1141.24,0.00%,USD,1115.32,0.00%
6/12/2015,USD,1266.94,-0.14%,USD,1443.27,-0.11%,USD,1081.82,-0.15%,USD,1395.69,-0.16%,USD,1141.24,0.16%,USD,1115.32,0.01%
6/11/2015,USD,1268.7,0.13%,USD,1444.81,0.09%,USD,1083.43,0.16%,USD,1397.91,0.09%,USD,1139.37,0.92%,USD,1115.24,-0.20%
6/10/2015,USD,1267.06,0.19%,USD,1443.46,0.40%,USD,1081.72,0.06%,USD,1396.65,0.28%,USD,1129.02,-0.74%,USD,1117.48,0.44%
6/9/2015,USD,1264.68,-0.19%,USD,1437.64,-0.19%,USD,1081.11,-0.22%,USD,1392.76,-0.05%,USD,1137.48,-0.85%,USD,1112.59,0.26%
6/8/2015,USD,1267.04,-0.36%,USD,1440.36,-0.29%,USD,1083.5,-0.43%,USD,1393.52,-0.20%,USD,1147.18,-1.02%,USD,1109.67,-0.10%
6/7/2015,USD,1271.61,0.00%,USD,1444.6,0.00%,USD,1088.22,0.00%,USD,1396.31,0.00%,USD,1159.01,0.00%,USD,1110.75,0.00%
6/6/2015,USD,1271.61,0.00%,USD,1444.6,0.00%,USD,1088.22,0.00%,USD,1396.31,0.00%,USD,1159.01,0.00%,USD,1110.75,0.00%
6/5/2015,USD,1271.61,-0.03%,USD,1444.6,-0.40%,USD,1088.22,0.14%,USD,1396.31,0.01%,USD,1159.01,0.05%,USD,1110.75,-0.39%
6/4/2015,USD,1271.99,-0.30%,USD,1450.44,-0.49%,USD,1086.65,-0.24%,USD,1396.23,-0.21%,USD,1158.41,0.25%,USD,1115.1,-0.14%
6/3/2015,USD,1275.88,-0.02%,USD,1457.54,0.03%,USD,1089.26,-0.08%,USD,1399.15,0.13%,USD,1155.53,0.01%,USD,1116.62,0.27%
6/2/2015,USD,1276.08,-0.34%,USD,1457.15,0.05%,USD,1090.09,-0.57%,USD,1397.33,-0.18%,USD,1155.37,-1.74%,USD,1113.64,0.26%
6/1/2015,USD,1280.4,0.08%,USD,1456.47,-0.01%,USD,1096.32,0.12%,USD,1399.83,0.09%,USD,1175.82,0.24%,USD,1110.74,-0.08%
5/31/2015,USD,1279.4,0.00%,USD,1456.56,0.00%,USD,1095.03,0.00%,USD,1398.64,0.00%,USD,1173.04,0.00%,USD,1111.65,0.00%
5/30/2015,USD,1279.4,0.00%,USD,1456.56,0.00%,USD,1095.03,0.00%,USD,1398.64,0.00%,USD,1173.04,0.00%,USD,1111.65,0.00%
5/29/2015,USD,1279.4,-0.20%,USD,1456.56,-0.21%,USD,1095.03,-0.20%,USD,1398.64,-0.16%,USD,1173.04,-0.26%,USD,1111.65,-0.24%
5/28/2015,USD,1281.95,-0.11%,USD,1459.63,0.06%,USD,1097.25,-0.20%,USD,1400.94,-0.05%,USD,1176.07,-0.48%,USD,1114.36,0.18%
5/27/2015,USD,1283.33,0.31%,USD,1458.79,0.21%,USD,1099.48,0.34%,USD,1401.68,0.35%,USD,1181.73,0.53%,USD,1112.34,-0.04%
5/26/2015,USD,1279.42,-0.07%,USD,1455.69,-0.46%,USD,1095.76,0.14%,USD,1396.83,-0.18%,USD,1175.54,1.03%,USD,1112.8,-0.65%
5/25/2015,USD,1280.38,0.00%,USD,1462.46,0.00%,USD,1094.19,0.00%,USD,1399.3,0.00%,USD,1163.54,0.00%,USD,1120.11,0.00%
5/24/2015,USD,1280.38,0.00%,USD,1462.46,0.00%,USD,1094.19,0.00%,USD,1399.3,0.00%,USD,1163.54,0.00%,USD,1120.11,0.00%
5/23/2015,USD,1280.38,0.00%,USD,1462.46,0.00%,USD,1094.19,0.00%,USD,1399.3,0.00%,USD,1163.54,0.00%,USD,1120.11,0.00%
5/22/2015,USD,1280.38,0.10%,USD,1462.46,-0.16%,USD,1094.19,0.25%,USD,1399.3,0.05%,USD,1163.54,0.86%,USD,1120.11,-0.29%
5/21/2015,USD,1279.07,0.05%,USD,1464.77,0.15%,USD,1091.49,0.01%,USD,1398.63,0.02%,USD,1153.65,-0.03%,USD,1123.34,0.12%
5/20/2015,USD,1278.41,0.01%,USD,1462.52,-0.02%,USD,1091.39,0.02%,USD,1398.37,-0.01%,USD,1153.94,0.13%,USD,1121.99,0.10%
5/19/2015,USD,1278.33,0.17%,USD,1462.76,-0.33%,USD,1091.14,0.44%,USD,1398.56,0.08%,USD,1152.39,1.23%,USD,1120.91,-0.40%
5/18/2015,USD,1276.2,0.20%,USD,1467.63,0.16%,USD,1086.37,0.23%,USD,1397.38,0.13%,USD,1138.41,0.54%,USD,1125.38,-0.12%
5/17/2015,USD,1273.7,0.00%,USD,1465.22,0.00%,USD,1083.85,0.00%,USD,1395.62,0.00%,USD,1132.33,0.00%,USD,1126.75,0.00%
5/16/2015,USD,1273.7,0.00%,USD,1465.22,0.00%,USD,1083.85,0.00%,USD,1395.62,0.00%,USD,1132.33,0.00%,USD,1126.75,0.00%
5/15/2015,USD,1273.7,0.14%,USD,1465.22,0.37%,USD,1083.85,0.07%,USD,1395.62,0.04%,USD,1132.33,0.44%,USD,1126.75,0.72%
5/14/2015,USD,1271.92,0.32%,USD,1459.87,0.24%,USD,1083.14,0.27%,USD,1395.03,0.62%,USD,1127.34,0.08%,USD,1118.7,0.14%
5/13/2015,USD,1267.81,-0.06%,USD,1456.35,0.22%,USD,1080.21,-0.21%,USD,1386.45,0.02%,USD,1126.49,-0.96%,USD,1117.17,0.05%
5/12/2015,USD,1268.58,-0.43%,USD,1453.12,-0.39%,USD,1082.53,-0.49%,USD,1386.2,-0.29%,USD,1137.43,-1.32%,USD,1116.61,0.25%
5/11/2015,USD,1274.05,0.02%,USD,1458.86,0.09%,USD,1087.84,0.03%,USD,1390.23,-0.09%,USD,1152.69,-0.05%,USD,1113.88,-0.18%
5/10/2015,USD,1273.74,0.00%,USD,1457.62,0.00%,USD,1087.48,0.00%,USD,1391.55,0.00%,USD,1153.21,0.00%,USD,1115.94,0.00%
5/9/2015,USD,1273.74,0.00%,USD,1457.62,0.00%,USD,1087.48,0.00%,USD,1391.55,0.00%,USD,1153.21,0.00%,USD,1115.94,0.00%
5/8/2015,USD,1273.74,0.46%,USD,1457.62,0.47%,USD,1087.48,0.47%,USD,1391.55,0.43%,USD,1153.21,0.61%,USD,1115.94,0.17%
5/7/2015,USD,1267.88,0.20%,USD,1450.79,-0.18%,USD,1082.42,0.30%,USD,1385.55,0.40%,USD,1146.26,0.27%,USD,1114.05,-0.35%
5/6/2015,USD,1265.4,-0.26%,USD,1453.41,-0.02%,USD,1079.13,-0.41%,USD,1380,-0.13%,USD,1143.22,-0.89%,USD,1117.91,0.44%
5/5/2015,USD,1268.73,-0.49%,USD,1453.66,-0.24%,USD,1083.62,-0.58%,USD,1381.82,-0.53%,USD,1153.43,-1.58%,USD,1113.02,0.12%
5/4/2015,USD,1274.94,0.08%,USD,1457.23,0.13%,USD,1089.97,0.08%,USD,1389.24,0.00%,USD,1171.9,-0.20%,USD,1111.69,-0.03%
5/3/2015,USD,1273.91,0.00%,USD,1455.32,0.00%,USD,1089.06,0.00%,USD,1389.3,0.00%,USD,1174.2,0.00%,USD,1112.05,0.00%
5/2/2015,USD,1273.91,0.00%,USD,1455.32,0.00%,USD,1089.06,0.00%,USD,1389.3,0.00%,USD,1174.2,0.00%,USD,1112.05,0.00%
5/1/2015,USD,1273.91,0.40%,USD,1455.32,0.15%,USD,1089.06,0.44%,USD,1389.3,0.60%,USD,1174.2,0.91%,USD,1112.04,-0.05%
